,QueryID,QueryText,QueryImages,Label
1750,1979,Pssst Pence didn't support that crazy electrocution garbage url url,raw_images/images_otweet_DataC/22183.png,0.0
1800,1098,Trump claims Hillary Clinton started birther controversy url url,raw_images/images_otweet_DataC/44398.png,0.0
1850,692,@user @user The terrorist know this and use it against us . #usefulidiots #Democrats url,raw_images/images_otweet_DataC/40915.png,0.0
1900,1836,FREE PASS ? @user @user @user @user url,raw_images/images_otweet_DataC/22974.png,0.0
1950,1642,Another fun fact : Japan understands that Islam's ideology is a cancer to this earth & they won't put up with it . #MuslimBan #NoTolerance url,raw_images/images_otweet_DataC/2685.png,0.0
2000,508,"#birtherism Helpful of #CNN , the Clinton News Network , to make their bias clear by adding lies in parentheses . url",raw_images/images_otweet_DataC/28051.png,0.0
2050,1645,@user @user @user @user @user ... isn't real . url,raw_images/images_otweet_DataC/14655.png,0.0
2100,1266,. @user speaks @user after historic Tax Cut and Jobs Act passes allowing Americans to keep more of their money . #taxcuts4Christmas url,raw_images/images_otweet_DataC/42731.png,0.0
2150,1534,We All Do ... url,raw_images/images_otweet_DataC/36383.png,0.0
2200,56,Trump calls out media for ignoring the fact that Hillary made $ millions selling US Uranium to Putin . They mining it now #TrumpNewsConference url,raw_images/images_otweet_DataC/39289.png,0.0
2250,1220,The Next Time You Want To Blame #Trump For #NorthKorea Remember Who Gave Them Two Nuclear Reactors and $ $ $ #NorthKoreaNukes url,raw_images/images_otweet_DataC/22833.png,0.0
2300,1181,@user Did you know Obama is the ONLY President in US HISTORY to not achieve at least one year of 3 % average GDP ? THE ONLY PRESIDENT EVER . url,raw_images/images_otweet_DataC/24285.png,0.0
2350,1824,"Trump blames Democrats for GOP health care bill failure , says ObamaCare is ' imploding ' url url",raw_images/images_otweet_DataC/7536.png,0.0
2400,359,@user sorry doesn't add up ! url,raw_images/images_otweet_DataC/43086.png,0.0
2450,300,"@user @user @user @user @user @user So at the stroke of a pen , you want to turn every law abiding citizen into criminals ? Because you find no use for it , doesnt give u the right 2 chip away our const . On the parts you dont like . Peoples emotions is how the Patriot Act passed . Are you fir tge patriot act ? url",raw_images/images_otweet_DataC/43403.png,0.0
2500,1148,@user @user @user @user Get informed . Bush SOS General Powell had a private email server url,raw_images/images_otweet_DataC/12919.png,0.0
2550,974,@user @user The Left who wants to take away gun rights and the #2Amendment are Anti American ... Like Stalin and Hitler . url,raw_images/images_otweet_DataC/25789.png,0.0
2600,1833,the #FakeNewsMedia is not trying to debunk Trump on Hillary selling nuclear material Uranium to Putin . Silence lol #TrumpPressConference url,raw_images/images_otweet_DataC/19970.png,0.0
2650,1510,The medical community is coming out against Trump's budget proposal url url,raw_images/images_otweet_DataC/30750.png,0.0
2700,84,"Today @user welcomes the Chancellor of Germany , Angela Merkel , to the White House . Watch their press conference : url url",raw_images/images_otweet_DataC/39528.png,0.0
2750,1144,@user @user @user @user @user Kind of like this one too .. you fall right in this category as well . She was right about one thing that for sure . url,raw_images/images_otweet_DataC/31231.png,0.0
2800,1237,"And this one is unbelievable : Sanders said a disproportionate amount of prisoners are Black because "" most drug dealers are Black . "" That's how he sees us . That's why he thinks Black people are targeted by police . Completely unacceptable . Not fit to lead . url",raw_images/images_otweet_DataC/24440.png,0.0
2850,605, These are people that kill women and treat women horribly and yet you take their money .  - Donald Trump to Clinton at the 3rd debate url,raw_images/images_otweet_DataC/25368.png,0.0
2900,1808,@user @user Wrong . #WakeUpAmerica to the deception games of the Alt-R . MLK would not be onboard with trump's #Racist #Nationalist agenda . url,raw_images/images_otweet_DataC/36117.png,0.0
2950,207,#margaretsanger created #PlannedParenthood to keep black population down u brainwashed goons . #DisbandthePanel #ThursdayThoughts Carrier url,raw_images/images_otweet_DataC/29380.png,0.0
3000,466,EVERY SECOND OF EVERY MINUTE OF EVERY DAY I REALIZE HOW BLESSED WE ARE THAT #HILLARY IS NOT ( AND WILL NEVER BE ) POTUS . PLUS ... THINK OF ALL THE BABIES THAT WILL BE SAVED ! #DefundPlannedParenthood #LockHerUp ##ImprisonHillaryForever #Loose Hillary #HowManyBabiesKilled #ProLife url,raw_images/images_otweet_DataC/31559.png,0.0
3050,76,JW filed a lawsuit w / State & Treasury for on ObamaAdmin's scandalous $ 400 million payment to #Iran . See here : url url,raw_images/images_otweet_DataC/38271.png,0.0
3100,2008,@user @user This is how deportation helps . url,raw_images/images_otweet_DataC/34841.png,0.0
3150,195,@user @user Feel silly now ? url,raw_images/images_otweet_DataC/30298.png,0.0
3200,1644,"@user Google , and update yourself , she admitted it . Emma's own words . Plastic Victims . url",raw_images/images_otweet_DataC/32287.png,0.0
3250,1751,". @user on @user : "" How do you forget if you go to an inauguration ... You don't forget something like that . "" #Hannity url",raw_images/images_otweet_DataC/37085.png,0.0
3300,310,"Visited Sheboygan South to talk about the #wibudget priorities : #studentsuccess , #accountablegov & #rewardingwork url",raw_images/images_otweet_DataC/26856.png,0.0
3350,183,@user Wont be long before you get beaten by Forensic Files Re-runs LOL ! ! ! url,raw_images/images_otweet_DataC/13586.png,0.0
3400,726,@user Does your source say this ? @user @user @user @user @user url,raw_images/images_otweet_DataC/3360.png,0.0
3450,339,@user debunk this . Want this guy as a POTUS ? Not me ! url,raw_images/images_otweet_DataC/21023.png,0.0
3500,1116,@user You'd make Joe Wilson proud . url,raw_images/images_otweet_DataC/37108.png,0.0
3550,1693,JW filed FOIA lawsuit w / State & Treasury for details on Obama Admin's $ 400 million payment to Iran . Read here : url url,raw_images/images_otweet_DataC/17638.png,0.0
3600,78,"@user @user @user @user Under Obama , the US had 3 % growth on a YoY basis in four separate quarters . url url",raw_images/images_otweet_DataC/34423.png,0.0
3650,1467,Clinton campaign spokesman @user responds to the IG report on emails : url,raw_images/images_otweet_DataC/857.png,0.0
3700,1710,The left says Trump hates and disrespects women Trump has empowered more women in high level positions than any other POTUS in history First female campaign manager to win a presidential campaign First woman press secretary in 10 years The facts are quite clear url,raw_images/images_otweet_DataC/26100.png,0.0
3750,1683,"DEMOCRATS STARTED THE "" BIRTHER MOVEMENT "" | .. but there's no evidence Hillary was involved . Page 2 & in replies . url",raw_images/images_otweet_DataC/21227.png,0.0
3800,1355,( continued ) HRC's + 19 margin among women is the biggest gender gap in recent history . #WomenTrumpDonald @user url,raw_images/images_otweet_DataC/33459.png,0.0
3850,1871,@user @user Women's rights ? This is what you support . url url,raw_images/images_otweet_DataC/3541.png,0.0
3900,1028,Will America let the Clinton Crime Family swindle them again ? Or turn to a proven Builder ? #TrumpPence16 #BuildersGuild #MAGA url,raw_images/images_otweet_DataC/14323.png,0.0
3950,1127,JW filed a lawsuit w / State & Treasury for on ObamaAdmin's scandalous $ 400 million payment to #Iran . See here : url url,raw_images/images_otweet_DataC/5057.png,0.0
4000,1720," One in six non-citizens are registered to vote , and many of them report voting illegally .  url via @user url",raw_images/images_otweet_DataC/35306.png,0.0
4050,763,"@user @user - Get a life-Get a password - Ur stupidity has cost the country millions.Who is so stupid to use "" password "" for their PW ? #MAGA url",raw_images/images_otweet_DataC/12388.png,0.0
4100,785,Trump tweet opposing more guns in schools resurfaces after he calls for more guns in schools url url,raw_images/images_otweet_DataC/28232.png,0.0
4150,1692,Here's a template for Trump ! url,raw_images/images_otweet_DataC/36323.png,0.0
4200,1982,@user @user @user Did you know Obama is the ONLY President in US HISTORY to not achieve at least one year of 3 % average GDP ? THE ONLY PRESIDENT EVER . Yet MSM acts like he farts miracles . Even Fox doesn't report this . url,raw_images/images_otweet_DataC/26695.png,0.0
4250,537,Debate fact-check : Donald Trump claims the Clinton State Department lost $ 6 billion . Grade : False . url #Debates url,raw_images/images_otweet_DataC/34895.png,0.0
4300,1574,"Today , Wisconsin's K - 12 students are returning to school for the first time in 2018 . Thankfully , we put historic amounts into our classrooms to ensure each child succeeds . #WIForward url",raw_images/images_otweet_DataC/38006.png,0.0
4350,1439,@user Read this then fact check it yourself url,raw_images/images_otweet_DataC/19091.png,0.0
4400,320,Another version of the Levar Stoney mailer targeting Jack Berry on education . #rvamayor url,raw_images/images_otweet_DataC/29520.png,0.0
4450,1114,Nice to see @user ( PolitiFact ) isn't pulling any punches with DNC . url,raw_images/images_otweet_DataC/5584.png,0.0
4500,1889,1 ) this is an internet hoax 2 ) you should be ashamed 3 ) everyone who voted for you / 3rd party / stayed home should also be ashamed url,raw_images/images_otweet_DataC/28162.png,0.0
4550,1639,"1 . Moron using the #holocaust as a comparison to jab the kids walking out . GTFOH . There's more of a corolation if he used these as an example : Charlottesville , the rise of #whitesupremacy , the rise of #hatecrimes since 2017 . But "" mah gunz "" . #TheResistance #NeverForget #NeverAgain url",raw_images/images_otweet_DataC/27986.png,0.0
4600,401,Corey Booker is not a Progressive . Stop the BS ... Corey becomes a progressive like most in election season.Don ' t be fooled by con game DNC plays with voters url,raw_images/images_otweet_DataC/37308.png,0.0
4650,1921,@user @user @user @user @user @user She said it url,raw_images/images_otweet_DataC/13256.png,0.0
4700,474,"@user @user @user Yeah , the candidate chosen by a corrupt deep state and business interests ( like Hitler was ) isn't Hillary or anything . url",raw_images/images_otweet_DataC/29208.png,0.0
4750,363,@user That's the first indication that you are . But that's not your case for liberalism is a mental disorder url,raw_images/images_otweet_DataC/9905.png,0.0
4800,1518,@user Liberals have created many of our foreign policy problems this country faces today . url,raw_images/images_otweet_DataC/1219.png,0.0
4850,882,"No , Hillary , 17 U . S . Intelligence Agencies Did Not Say Russia Hacked Dem E-mails url h / t @user url",raw_images/images_otweet_DataC/4258.png,0.0
4900,1527,60 died in 13 attacks w white male #GOP #Republican president . #maga #trump #deplorables didnt care . But #Benghazi ? #debate #debatenight url,raw_images/images_otweet_DataC/44658.png,0.0
4950,665,This probably tells you all you need to know about Black Lives Matter . Join our patriots and enlist in the #USFA at url #freedomarmy #constitution #freedom #volunteer #conservative #liberty url,raw_images/images_otweet_DataC/8527.png,0.0
5000,843,"Where there aren't Muslims , there aren't Muslim demands or Muslim terrorism . url",raw_images/images_otweet_DataC/43715.png,0.0
5050,943,Fake news alert : Walmart bananas didn't infect kids with HIV virus : url url,raw_images/images_otweet_DataC/11100.png,0.0
5100,1757,"Regardless of what lies leftists and the media are going to screech out about White males and guns , White males don't actually commit the most mass shootings . Don't let them guilt you out of your right to bear arms , White people . "" Dimitrios Pagourtzis "" url",raw_images/images_otweet_DataC/26926.png,0.0
5150,334,"Commander-in-Chief ? They should have named the show "" Commander & Thief "" #NBCNewsForum #Lauer url",raw_images/images_otweet_DataC/11741.png,0.0
5200,8,Mattis says a U . S . government shutdown would affect military operations url url,raw_images/images_otweet_DataC/1664.png,0.0
5250,1743,@user @user #Japan seems to have the right idea along with #Poland url,raw_images/images_otweet_DataC/23695.png,0.0
5300,193,@user @user sure how many would you like ? url url,raw_images/images_otweet_DataC/4086.png,0.0
5350,734,@user Resist Antifa All Part Of The Problem #BlackGunsMatter url,raw_images/images_otweet_DataC/24197.png,0.0
5400,1947,"@user "" Abortion "" formally known as eugenics , aka genocide . url",raw_images/images_otweet_DataC/36483.png,0.0
5450,1414,CNN's Primetime Shows Get Fewer Viewers Than Decade-Old Re-Runs of Yogi Bear - url url,raw_images/images_otweet_DataC/19854.png,0.0
5500,724,@user @user @user @user @user @user Putin may well be a genius . These are the 17 intel agencies who agree on Russian interference in the US election . url,raw_images/images_otweet_DataC/37347.png,0.0
5550,304,Let's just accept this fact . Dems and media will oppose anything Trump does . They have no integrity or love of USA . #tcot #ccot #gop #maga url,raw_images/images_otweet_DataC/24519.png,0.0
5600,1179,"This is LUDICROUS : Donald Trump claims he did a "" great service "" to Barack Obama and America by being a birther . url",raw_images/images_otweet_DataC/12662.png,0.0
5650,362,The U . S . has the world's highest corporate tax rate . #TaxFacts #TaxReform url url,raw_images/images_otweet_DataC/39424.png,0.0
5700,585,". @user : "" [ @user ] wants to essentially dismantle our Second Amendment . "" url",raw_images/images_otweet_DataC/3245.png,0.0
5750,131,@user And this is why the democrats are dead . url,raw_images/images_otweet_DataC/11541.png,0.0
5800,439,Who imposes the highest corporate tax rate in the modern world ? This country . #TaxReform17 url url,raw_images/images_otweet_DataC/13493.png,0.0
5850,88,How you like him now ? ? Blame yourself for listening to a CON ! url,raw_images/images_otweet_DataC/14931.png,0.0
5900,1039,"Trump just claimed he received the "" greatest electoral victory since Ronald Reagan . "" Really ? url",raw_images/images_otweet_DataC/36187.png,0.0
5950,470,"The founder of the Ku Klux Klan , Nathan Bedford Forrest , was a delegate to the Democratic National Convention url",raw_images/images_otweet_DataC/9386.png,0.0
6000,1540,@user @user @user You can look up the facts if you'd like . You'll have to take a break from hyping your hate agenda . url,raw_images/images_otweet_DataC/25375.png,0.0
6050,1021,"Nice work Bill "" World War III "" url",raw_images/images_otweet_DataC/45216.png,0.0
6100,563,@user @user @user @user @user and this fine citizen url,raw_images/images_otweet_DataC/39328.png,0.0
6150,800,@user @user In her words url,raw_images/images_otweet_DataC/8313.png,0.0
6200,191,WHOA ! Another Reason Why @user Needs To Work With Conservatives & @user To Repeal Obamacare ! #FullRepeal #SayNoToSinglePayer url,raw_images/images_otweet_DataC/30698.png,0.0
6250,993,@user @user To all the parents who don't know history url,raw_images/images_otweet_DataC/38397.png,0.0
6300,1684,Japan has restrictions on Islam and Muslims but are they racist or xenophobic ? Of course not ! Only homogeneously white nations are shamed . url,raw_images/images_otweet_DataC/23250.png,0.0
6350,1786,"@user @user @user Our math is better than yours ! The US Department of Commerce would like a word with you . California is hardly the "" poverty capital "" of America . Now go read a fucking book ! url",raw_images/images_otweet_DataC/30019.png,0.0
6400,1853,Here's why Democrats say they're skipping Trump's inauguration url url,raw_images/images_otweet_DataC/10628.png,0.0
6450,1169,OMB had this to say about the budget resolution @user supported . ( Hint : it cut Pell ) #nhsen #nhpolitics url,raw_images/images_otweet_DataC/13273.png,0.0
6500,1211,@user @user @user Lol I think for myself your own r telling u your not too bright . Bet u complain about the cost of drugs that is usually a complaint did u know url,raw_images/images_otweet_DataC/5220.png,0.0
6550,641,@user @user the quote isn't even correct . Has been used against jews too . Debunked url,raw_images/images_otweet_DataC/21409.png,0.0
6600,1643,The influx of low-skilled labor into the U . S . has put a strain on public resources and burdened American taxpayers . More : url url,raw_images/images_otweet_DataC/42589.png,0.0
6650,959,ICYMI : My recent @user interview where I shared my journey to @user & passion to improve #health of all Americans url url,raw_images/images_otweet_DataC/26207.png,0.0
6700,980,@user @user tell us more about who the racist is url,raw_images/images_otweet_DataC/7812.png,0.0
6750,903,#DemResponse most dems sat silent as trump talked about lowering cost of drugs that would help save children like megan . Wonder why url,raw_images/images_otweet_DataC/6027.png,0.0
6800,1932,@user @user @user so you think taking money from Woman and gay oppressive countries is OK ? url,raw_images/images_otweet_DataC/26396.png,0.0
6850,1878,@user @user @user It wasn't an immigration ban . Please read about it and get back to me . The below is true url,raw_images/images_otweet_DataC/19476.png,0.0
6900,35,"#BernieLostMe when he let @user break rules , deny Americans constitutional rights , & weaken the party Or wait url",raw_images/images_otweet_DataC/34752.png,0.0
6950,1813,Trump Campgn Manager : We Should Take Him at His Word That He Would've Opposed Iraq War url WTF ? url,raw_images/images_otweet_DataC/12097.png,0.0
7000,177,"Hillary campaigning at a gay club in Florida today , speaking on LGBT rights to an overflow crowd outside . She's so cute ! url",raw_images/images_otweet_DataC/24172.png,0.0
7050,1550,"@user #TrumpTrain #MAGA #DrainTheSwamp Wonder what happened in the 90 ' s , that caused Mr . Trump To be so worried ? url",raw_images/images_otweet_DataC/9377.png,0.0
7100,1282,"US has a debt problem & failure of leadership . Americans deserve better . I , intend to oppose the effort to increase US debt . Barack Obama url",raw_images/images_otweet_DataC/19981.png,0.0
7150,1281,"Facebook is flagging links to fake sites now , looks like : url",raw_images/images_otweet_DataC/7163.png,0.0
7200,1714,"The American government needs to learn from its mistakes . NAFTA , CAFTA , and PNTR were disastrous . #StopTPPNow url",raw_images/images_otweet_DataC/15673.png,0.0
7250,1459,@user @user @user @user @user Really ? url,raw_images/images_otweet_DataC/26344.png,0.0
7300,410,"Health insurance premiums have doubled across the U . S because of Obamacare . But in 3 states , premiums have TRIPLED : url url",raw_images/images_otweet_DataC/28773.png,0.0
7350,1725,"#CommitACrimeIn5Words "" I thought they were mine . "" url",raw_images/images_otweet_DataC/13940.png,0.0
7400,112,She actually has said THIS : #CrookedHillary #NeverHillary #ImWithHer #TrumpPence16 url,raw_images/images_otweet_DataC/31533.png,0.0
7450,743,"@user And 31,000 Scientists don't believe in Global Warming url",raw_images/images_otweet_DataC/5803.png,0.0
7500,1726,JW filed a lawsuit w / State & Treasury for on ObamaAdmin's scandalous $ 400 million payment to #Iran . See here : url url,raw_images/images_otweet_DataC/33397.png,0.0
7550,1520,The Dems have shown us who they are . Keith Ellison & Debbie Wasserman Schultz sitting together is all we need to know #DemExit #DraftBwrnie url,raw_images/images_otweet_DataC/12786.png,0.0
7600,485,"#Hillary4Prison #DallasPoliceShootings #Trump2016 . What is that term ... Oh Yeah "" CONFLICT OF INTEREST "" url",raw_images/images_otweet_DataC/34404.png,0.0
7650,636,Never be afraid to stand up for what's right #MLKDay2018 url,raw_images/images_otweet_DataC/29394.png,0.0
7700,953,"July 5 , 2016 . The day @user started #Birther movement in 2nd presidential election . url",raw_images/images_otweet_DataC/20214.png,0.0
7750,354,#HIllaryClinton wants to close #Gitmo . #DonaldTrump wants to keep it open . See where else they stand : url url,raw_images/images_otweet_DataC/32525.png,0.0
7800,748,"Keith Ellison , Debbie Wasserman Schultz , other Dem leaders , refuse to stand and honor widow of fallen Navy SEAL url url",raw_images/images_otweet_DataC/7897.png,0.0
7850,1447,CNN Says There Have Been 22 School Shootings This Year . That's A Lie . url url,raw_images/images_otweet_DataC/20835.png,0.0
7900,322,@user Margaret Sanger founded Planned Parenthood to stop all minorities from propagating . @user url,raw_images/images_otweet_DataC/21350.png,0.0
7950,1526,"Trump shares tweet that claims Clinton's "" mentor "" was a "" KKK member "" url url",raw_images/images_otweet_DataC/18340.png,0.0
8000,1049,@user @user @user Dude - this literally happens everyday in America . More Americans have been killed by guns than all killed in wars combined dating back to the revolutionary war . Your just now seeing it in the press . url,raw_images/images_otweet_DataC/26656.png,0.0
8050,1006,@user @user @user Don't forget to donate ! url,raw_images/images_otweet_DataC/32933.png,0.0
8100,301,"A good time to mention Hillary's REAL link to Russia , who transferred our uranium to Putin ... FOR PERSONAL GAIN . FACTS are stubborn things . url",raw_images/images_otweet_DataC/19943.png,0.0
8150,1042,"As a single white woman with 1 child , I was the face of welfare in the 90 ' s . As a single disabled adult , I am the face of SNAP now . To anyone saying ' entitlement reform is needed to balance the budget ' 1 . Look at the chart and 2 . Check your goddamned humanity . url",raw_images/images_otweet_DataC/2189.png,0.0
8200,671,"Shorter Trump stamt : It's a shame Crooked Hillary ginned up this rumor * that I then , like a dupe , totally pursued . url",raw_images/images_otweet_DataC/15983.png,0.0
8250,1672,@user @user @user @user Neither of the indictment had to do with collusion . Flynn had a legitimate reason to speak with ambassador since he was part of transition and should have just told the truth . Manafort and Gates was for ' 06 - ' 15 So again nothing to do with Trump . No collusion is not a crime . url,raw_images/images_otweet_DataC/24184.png,0.0
8300,27,"Abomination ... I'm a VERY disturbed , disgusted Catholic @user url",raw_images/images_otweet_DataC/38046.png,0.0
8350,1016,HT @user for sharing this NYT article : url Here's an anecdote from the comments : url,raw_images/images_otweet_DataC/5782.png,0.0
8400,1582,Something positive since Trump sworn in . The National Debt is running in reverse . Down $ 131 billion . Nice to see positive things . url,raw_images/images_otweet_DataC/17136.png,0.0
8450,831,"MORE proof folks , not just Trump but Bernie Sanders was CUT OFF at CNN for calling CNN FAKE NEWS .. "" CNN claims it was technical difficulties "" url",raw_images/images_otweet_DataC/27580.png,0.0
8500,141,"@user @user As long as his admin doesnt sell Russia 20 % of our uranium , I'm ok . url",raw_images/images_otweet_DataC/19383.png,0.0
8550,127,FACT : the most recent data shows that around 6.5 M Americans paid $ 3B in penalties to the IRS rather than buy unaffordable #Obamacare plans . url,raw_images/images_otweet_DataC/9880.png,0.0
8600,1362,@user @user It's very true and no trump doesn't write my tweets . Unlike the leftists I am am independent thinker inspired by fact . You ate wrong . 98 % of mass shootings are in gun free zones . url,raw_images/images_otweet_DataC/25351.png,0.0
8650,982,Facts ! Thank you @user @user url,raw_images/images_otweet_DataC/43770.png,0.0
8700,783,Justy a sample of what NRA supporters are doing to teenagers who survived a massacre ( real picture on the right ) . url,raw_images/images_otweet_DataC/1104.png,0.0
8750,741,We're almost there ! Can you donate $ 20 today ? url url,raw_images/images_otweet_DataC/15381.png,0.0
8800,906,STAND . IT'S THE LAW ! ! U . S . Code Title 36 Subtitle I Part A Chapter 3 301 36 U . S . Code 301 - National anthem @user url,raw_images/images_otweet_DataC/6618.png,0.0
8850,1999,@user @user NYT is fake news . If I were Putin and was just sold 20 % of US Uranium by HRC and wanted to promote communism I would choose HRC . url,raw_images/images_otweet_DataC/21055.png,0.0
8900,220,@user @user He's just riding the previous presidents job trend . You'll see his after he signs some policies and is in office for a year . Unfairly boohoo url,raw_images/images_otweet_DataC/139.png,0.0
8950,1192,"Even the Liberal url admits : "" she told the FBI that "" she did not know what the "" ( C ) "" meant ... "" url",raw_images/images_otweet_DataC/14658.png,0.0
9000,693,"@user @user Not hardly , "" Yano "" ? url",raw_images/images_otweet_DataC/24857.png,0.0
9050,1701,@user No I'm sorry url,raw_images/images_otweet_DataC/31510.png,0.0
9100,1579,@user or any Democrat paid off by Wall street like @user url,raw_images/images_otweet_DataC/447.png,0.0
9150,383,"Saints Coach Sean Payton : More Americans Killed by Guns Than From All U . S . Wars Combined stick w / football , fool url url",raw_images/images_otweet_DataC/9876.png,0.0
9200,403,How Does Japan Handle Radical Islam ? url,raw_images/images_otweet_DataC/27372.png,0.0
9250,1604,"Newsom is wrong , Mike Pence never advocated subsidizing gay conversion therapy url url",raw_images/images_otweet_DataC/33442.png,0.0
9300,717,"@user @user @user We will be closer when we find the $ 6 B Dum Dum #HillaryRottenClinton "" lost "" url",raw_images/images_otweet_DataC/40424.png,0.0
9350,1093,Mrs . Bill Clinton received this founder of Planned Genocide award . No call by @user or @user to denounce the award url,raw_images/images_otweet_DataC/8538.png,0.0
9400,406,"ICYMI Mark Penn , @user top strategist in 07 , established #birtherism smear tactics in reprehensible detail url",raw_images/images_otweet_DataC/19931.png,0.0
9450,759,@user You donate to the racist PP if you want but i wont url,raw_images/images_otweet_DataC/18949.png,0.0
9500,405,@user @user @user Here are some FACTS for you url,raw_images/images_otweet_DataC/40571.png,0.0
9550,1088,"@user No platform , so run a celeb for President ? DJT's celeb status isn't why he won . America's not impressed w / celebs anymore . Beyonce & Lady Gaga didn't help HRC win . BTW , over 8 years Obama never hit 3 % average GDP , but Trump hit 3.3 % first year , now black unemp at ALL TIME LOW ... url",raw_images/images_otweet_DataC/10181.png,0.0
